grupo_racial,total_casos,verdadeiros_positivos,verdadeiros_negativos,falsos_positivos,falsos_negativos,taxa_falsos_positivos,taxa_falsos_negativos,taxa_verdadeiros_positivos,precisao,acuracia
African-American,3175,1188,873,641,473,0.4233817701453104,0.2847682119205298,0.7152317880794702,0.6495352651722253,0.6491338582677165
Caucasian,2103,414,999,282,408,0.22014051522248243,0.49635036496350365,0.5036496350364964,0.5948275862068966,0.6718972895863052
